start_s,duration_s,max_error_m,max_sigma_m,mean_q_scale,within_1sigma_fraction,within_2sigma_fraction,nearest_maneuver_s,crosses_maneuver,sigma_to_error_ratio
6.0,2.0,0.05605196915585864,0.35968592407928235,1.3614922047277689,1.0,1.0,4.0,0,6.41700781428635
6.5,2.0,0.01959478377410384,0.23671529096356375,1.1000068916926817,1.0,1.0,3.5,0,12.08052580179032
7.0,2.0,0.0069506650573145645,0.20091043157095226,1.0294916133299197,1.0,1.0,3.0,0,28.90520977694404
7.5,2.0,0.001905271509876627,0.1841705954012149,1.008176836628512,1.0,1.0,2.5,0,96.66370091952962
8.0,2.0,0.0005085749317594868,0.1867871637222785,1.4987189491529287,1.0,1.0,2.0,0,367.27560101332944
8.5,2.0,0.05094394044734454,0.2430837872462544,2.5128537328190834,1.0,1.0,1.5,1,4.77159373836629
9.0,2.0,0.18807972825655717,0.38159514003005257,3.4849322943441505,1.0,1.0,1.0,1,2.0289009536930185
9.5,2.0,0.3589752381097212,0.593380171023515,3.889879213705831,1.0,1.0,0.5,1,1.6529835710900698
10.0,2.0,0.5259878322398197,0.7570236961493946,3.5180005962019654,1.0,1.0,0.0,0,1.4392418412527763
10.5,2.0,0.33696955463440187,0.6737885815094361,2.560341146479812,1.0,1.0,0.5,0,1.9995532897340504
11.0,2.0,0.08873721653472554,0.4783995855955215,1.612670213905272,1.0,1.0,1.0,0,5.391194408360886
11.5,2.0,0.03005053608013691,0.27452518381977603,1.1735978243474263,1.0,1.0,1.5,0,9.135450465432273
12.0,2.0,0.011344453472497082,0.2131256068649649,1.0512469508521292,1.0,1.0,2.0,0,18.786767241071225
12.5,2.0,0.0034168064601532884,0.1915563498521802,1.0139406838902252,1.0,1.0,2.5,0,56.06297930131706
13.0,2.0,0.0008428982424599962,0.18394103672262785,1.507244896265705,1.0,1.0,2.0,0,218.2244872000165
13.5,2.0,0.0508676640356797,0.2431981864223715,2.51237848882705,1.0,1.0,1.5,1,4.780997732700817
14.0,2.0,0.187948105725535,0.38142699317019185,3.4906112416302273,1.0,1.0,1.0,1,2.029427174579767
14.5,2.0,0.35876499832822867,0.5919836782428541,3.9353091374679945,1.0,1.0,0.5,1,1.6500597354852806
15.0,2.0,0.5369420853622797,0.7725085217921532,3.5178753917751027,1.0,1.0,0.0,0,1.4387185189086729
15.5,2.0,0.33789274556696836,0.6738382165253407,2.5602357796127766,1.0,1.0,0.5,0,1.9942370038003374
16.0,2.0,0.08846083800368405,0.4784601701679973,1.6121333618408085,1.0,1.0,1.0,0,5.408723011962325
16.5,2.0,0.030619144256033824,0.2796370844694549,1.1710649606620138,1.0,1.0,1.5,0,9.132753094964418
17.0,2.0,0.010399941941357406,0.20680966000401382,1.0479429554733721,1.0,1.0,2.0,0,19.885655244054266
17.5,2.0,0.0034168374758626018,0.1915576543526629,1.0139389385363624,1.0,1.0,2.5,0,56.06285218593927
18.0,2.0,0.0008430122277272407,0.1839489133541922,1.5633505079120147,1.0,1.0,2.0,0,218.20432409399103
18.5,2.0,0.05101116419099105,0.24042644405792127,2.537358213573856,1.0,1.0,1.5,1,4.713212252081523
19.0,2.0,0.19827487127940094,0.3950967299613165,3.490680142206149,1.0,1.0,1.0,1,1.9926717259322395
19.5,2.0,0.35895955234634563,0.5921717773116781,3.936045696516603,1.0,1.0,0.5,1,1.649689424451687
20.0,2.0,0.5371856627951009,0.7725109071976209,3.5178530532391066,1.0,1.0,0.0,0,1.4380705977483994
20.5,2.0,0.3431351088507267,0.686291066117148,2.536527367588445,1.0,1.0,0.5,0,2.0000607586200214
21.0,2.0,0.081991061287292,0.450682884177674,1.5763389271790473,1.0,1.0,1.0,0,5.496731925429126
21.5,2.0,0.03059128541448421,0.2796527702699908,1.1709809488508263,1.0,1.0,1.5,0,9.141582855409606
22.0,2.0,0.010405313794776236,0.20682416022175606,1.0472039628967837,1.0,1.0,2.0,0,19.876782603671952
22.5,2.0,0.0030990033897286867,0.187063539774525,1.0130646632810094,1.0,1.0,2.5,0,60.36248311135347
23.0,2.0,0.0008569962734579412,0.1879586538390445,1.517088770009793,1.0,1.0,2.0,0,219.32260344685028
