start_s,duration_s,max_error_m,max_sigma_m,mean_q_scale,within_1sigma_fraction,within_2sigma_fraction,nearest_maneuver_s,crosses_maneuver,sigma_to_error_ratio
6.0,2.0,0.10953557174790429,0.17920175089556015,1.0,1.0,1.0,4.0,0,1.6360142010121816
6.5,2.0,0.017053836472585293,0.17920175089556006,1.0,1.0,1.0,3.5,0,10.50800218376867
7.0,2.0,0.004122557866011789,0.18293836675664565,1.0,1.0,1.0,3.0,0,44.37496639279981
7.5,2.0,0.0017295324748594076,0.17920175089555998,1.0,1.0,1.0,2.5,0,103.61282803326786
8.0,2.0,0.0006036674845208978,0.18293836675664554,1.0,1.0,1.0,2.0,0,303.0449236500373
8.5,2.0,0.05093765184542311,0.18293836675664554,1.0,1.0,1.0,1.5,1,3.591417352959176
9.0,2.0,0.18808304890679156,0.17920175089556,1.0,0.967741935483871,1.0,1.0,1,0.9527799125819527
9.5,2.0,0.35897575608115023,0.1829383667566456,1.0,0.5873015873015873,1.0,0.5,1,0.5096120382995738
10.0,2.0,0.5259857169455169,0.1792017508955601,1.0,0.2222222222222222,0.38095238095238093,0.0,0,0.3406969906639543
10.5,2.0,0.5349282307097271,0.17920175089556006,1.0,0.0,0.016129032258064516,0.5,0,0.33500148357808757
11.0,2.0,0.1946376360483718,0.18293836675664546,1.0,0.0,1.0,1.0,0,0.9398920500204861
11.5,2.0,0.03289812627051417,0.17920175089556015,1.0,1.0,1.0,1.5,0,5.447171958123783
12.0,2.0,0.007121174493993699,0.18293836675664554,1.0,1.0,1.0,2.0,0,25.689353197417578
12.5,2.0,0.002860389594179139,0.18293836675664554,1.0,1.0,1.0,2.5,0,63.955751737079126
13.0,2.0,0.0009432011350244657,0.17920175089556,1.0,1.0,1.0,2.0,0,189.9931459379676
13.5,2.0,0.050867725338383886,0.1829383667566456,1.0,1.0,1.0,1.5,1,3.596354378728304
14.0,2.0,0.18794810195221087,0.1792017508955601,1.0,0.9682539682539683,1.0,1.0,1,0.9534640096611633
14.5,2.0,0.35876499911101023,0.17920175089556006,1.0,0.5645161290322581,0.9838709677419355,0.5,1,0.49949619204662404
15.0,2.0,0.5369420857097077,0.18293836675664546,1.0,0.20634920634920634,0.36507936507936506,0.0,0,0.34070409384067024
15.5,2.0,0.535214088150979,0.17920175089556037,1.0,0.0,0.016129032258064516,0.5,0,0.3348225595380987
16.0,2.0,0.19464412438959014,0.18293836675664582,1.0,0.0,1.0,1.0,0,0.9398607193016798
16.5,2.0,0.03341570254140413,0.1829383667566454,1.0,1.0,1.0,1.5,0,5.474622792382516
17.0,2.0,0.006507038247136355,0.1792017508955599,1.0,1.0,1.0,2.0,0,27.53967997259333
17.5,2.0,0.0028617118300993823,0.18293836675664524,1.0,1.0,1.0,2.5,0,63.9262013849564
18.0,2.0,0.0009433289756332174,0.17920175089555967,1.0,1.0,1.0,2.0,0,189.96739793269788
18.5,2.0,0.05101126215171817,0.17920175089556037,1.0,1.0,1.0,1.5,1,3.512984061491693
19.0,2.0,0.1982748716706596,0.18293836675664582,1.0,0.9523809523809523,1.0,1.0,1,0.9226502845025759
19.5,2.0,0.3589595514491621,0.17920175089556037,1.0,0.5645161290322581,0.9838709677419355,0.5,1,0.49922547031302483
20.0,2.0,0.5371856645696136,0.18293836675664582,1.0,0.20634920634920634,0.36507936507936506,0.0,0,0.34054960663035144
20.5,2.0,0.5440359742234137,0.1829383667566454,1.0,0.0,0.015873015873015872,0.5,0,0.33626152575255985
21.0,2.0,0.17459768774129486,0.17920175089555987,1.0,0.0967741935483871,1.0,1.0,0,1.0263695539948212
21.5,2.0,0.0334417675968331,0.18293836675664524,1.0,1.0,1.0,1.5,0,5.470355782688033
22.0,2.0,0.006513373005610144,0.17920175089555967,1.0,1.0,1.0,2.0,0,27.512895506093137
22.5,2.0,0.0026599110833400723,0.17920175089556037,1.0,1.0,1.0,2.5,0,67.37133132681083
23.0,2.0,0.000958646776461868,0.18293836675664582,1.0,1.0,1.0,2.0,0,190.82979388073136
