epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.31364,1.72944,3.00551,1.78623,0.00078,0.23438,0.1782,0.05611,3.61473,5.78741,2.21938,0.000625,0.000625,0.000625
2,11.2398,1.48533,1.85949,1.49676,0.38948,0.125,0.13822,0.02742,2.93133,6.42259,1.91239,0.00128663,0.00128663,0.00128663
3,12.8751,1.42122,1.63377,1.43456,0.12675,0.10938,0.02693,0.00548,2.84197,6.29612,2.37015,0.00192788,0.00192788,0.00192788
4,14.4848,1.45358,1.52051,1.38125,0.00016,0.04688,0.00036,5e-05,3.8367,7.72729,5.85495,0.00193048,0.00193048,0.00193048
5,16.0092,1.40649,1.47778,1.40944,0.01094,0.04688,0.00189,0.00036,2.67892,5.75196,2.36372,0.00187754,0.00187754,0.00187754
6,17.6041,1.32242,1.32608,1.37093,0.02775,0.21875,0.01951,0.00586,2.18107,4.35417,1.42299,0.00181093,0.00181093,0.00181093
7,19.3211,1.38452,1.28104,1.39051,0.01277,0.03125,0.02114,0.01021,1.82172,4.21602,1.21702,0.00173168,0.00173168,0.00173168
8,20.9088,1.32251,1.19336,1.30963,0.93611,0.21875,0.26434,0.12414,1.8751,4.19231,1.15366,0.00164105,0.00164105,0.00164105
9,22.5054,1.32572,1.20413,1.32375,0.80477,0.21875,0.27527,0.13465,1.86457,3.45765,1.15935,0.00154047,0.00154047,0.00154047
10,24.0688,1.33277,1.20338,1.37337,0.24278,0.625,0.36443,0.14788,1.90126,2.99648,1.22504,0.00143152,0.00143152,0.00143152
11,25.6536,1.26351,1.09542,1.3124,0.40447,0.67188,0.56276,0.28277,1.68967,2.19811,1.07212,0.00131593,0.00131593,0.00131593
12,27.2961,1.20846,1.02588,1.27389,0.71036,0.61318,0.72442,0.32372,1.76895,2.04466,1.13691,0.00119551,0.00119551,0.00119551
13,29.082,1.19289,0.99729,1.25696,0.92729,0.67188,0.85344,0.40579,1.77406,1.7713,1.10575,0.00107216,0.00107216,0.00107216
14,30.652,1.19529,0.98891,1.27247,0.89279,0.875,0.96347,0.44427,1.78685,1.63213,1.0769,0.000947837,0.000947837,0.000947837
15,32.2597,1.12848,0.92493,1.21072,0.89528,0.95312,0.96269,0.47997,1.72147,1.62491,1.03107,0.000824492,0.000824492,0.000824492
16,37.356,1.01782,0.92702,1.10521,0.98076,0.98438,0.99252,0.46821,1.75235,1.37638,1.04267,0.000704073,0.000704073,0.000704073
17,38.873,1.00564,0.83065,1.08783,0.99322,0.98438,0.99455,0.53009,1.55257,1.32997,1.00779,0.000588479,0.000588479,0.000588479
18,40.4537,1.00963,0.81862,1.08496,1,0.99574,0.995,0.47363,1.79087,1.35452,1.04648,0.000479531,0.000479531,0.000479531
19,41.9302,1.0058,0.7847,1.10179,0.98297,0.98438,0.99401,0.53861,1.63345,1.18907,1.03659,0.00037895,0.00037895,0.00037895
20,43.4446,0.98176,0.76285,1.09889,0.98987,0.98438,0.99485,0.52449,1.65113,1.23763,1.05763,0.000288321,0.000288321,0.000288321
21,45.0046,0.91994,0.74954,1.07504,0.98726,1,0.995,0.54001,1.6011,1.25562,1.03744,0.000209073,0.000209073,0.000209073
22,46.5126,0.90427,0.70987,1.02235,0.99201,1,0.995,0.54512,1.56422,1.21905,1.02678,0.000142456,0.000142456,0.000142456
23,48.0756,0.93267,0.72129,1.04795,0.99224,1,0.995,0.54392,1.57264,1.19712,1.03047,8.95213e-05,8.95213e-05,8.95213e-05
24,49.6251,0.92611,0.70381,1.04447,0.99422,1,0.995,0.5416,1.58893,1.18346,1.0327,5.11027e-05,5.11027e-05,5.11027e-05
25,51.2215,0.92578,0.68256,1.02683,0.99477,1,0.995,0.53367,1.59839,1.17715,1.03358,2.78064e-05,2.78064e-05,2.78064e-05
