condition,architecture,episodes,unsafe_touchdowns,lateral_failures,horizontal_speed_failures,vertical_speed_failures,mean_unsafe_x_error,mean_unsafe_abs_vx,mean_unsafe_abs_vz
blur,image_aegis_phase6b,100,0,0,0,0,0.0,0.0,0.0
blur,image_aegis_v3,100,0,0,0,0,0.0,0.0,0.0
blur,image_temporal,100,0,0,0,0,0.0,0.0,0.0
clean,image_aegis_phase6b,100,0,0,0,0,0.0,0.0,0.0
clean,image_aegis_v3,100,0,0,0,0,0.0,0.0,0.0
clean,image_temporal,100,0,0,0,0,0.0,0.0,0.0
low_light,image_aegis_phase6b,100,0,0,0,0,0.0,0.0,0.0
low_light,image_aegis_v3,100,0,0,0,0,0.0,0.0,0.0
low_light,image_temporal,100,0,0,0,0,0.0,0.0,0.0
mixed,image_aegis_phase6b,100,1,0,0,1,0.1204135830031608,0.33450951278926,0.8800866864697051
mixed,image_aegis_v3,100,6,1,5,0,0.23934886366850985,0.9237635121559694,0.4435166907253935
mixed,image_temporal,100,43,14,39,0,0.3641533908649369,1.1080546511481415,0.5020687028417163
occlusion,image_aegis_phase6b,100,4,0,0,4,0.1617378430537014,0.05704554430663937,0.8538815785187586
occlusion,image_aegis_v3,100,7,0,0,7,0.1713065023882679,0.11893129040713142,0.830761178345041
occlusion,image_temporal,100,14,2,2,10,0.21956271071628683,0.3868424822919502,0.717224941870625
