condition,architecture,episodes,success_rate,success_ci_low,success_ci_high,unsafe_touchdown_rate,unsafe_ci_low,unsafe_ci_high,abort_rate,abort_ci_low,abort_ci_high,timeout_rate,timeout_ci_low,timeout_ci_high,mean_image_abstention_rate,mean_lateral_component_abstention_rate,mean_altitude_component_abstention_rate,lateral_reference_takeover_frame_rate,altitude_reference_takeover_frame_rate,mean_lateral_reference_takeovers,mean_altitude_reference_takeovers,mean_unresolved_component_frames,mean_p_x_good,mean_p_z_good,mean_interventions,mean_final_x_error,mean_abs_final_vx,mean_abs_final_vz
blur,image_aegis_phase6b,100,1.0,0.9630051925239981,0.9999999999999999,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.0,0.054277167606695986,0.5731950354894755,0.05287505093358261,0.577454998681719,22.06,240.92,1.05,0.9582258939333655,0.6301988627490279,0.01,0.11922363191364649,0.08580108105460775,0.4386952578630725
blur,image_aegis_v3,100,1.0,0.9630051925239981,0.9999999999999999,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.0,,,,,,,,,,0.01,0.10580944795568312,0.07521728076618363,0.411017608627767
blur,image_temporal,100,1.0,0.9630051925239981,0.9999999999999999,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.0,,,,,,,,,,0.0,0.10531987501082594,0.06773831253214477,0.41132644262028284
clean,image_aegis_phase6b,100,1.0,0.9630051925239981,0.9999999999999999,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.007846405308638114,0.14550829616187813,0.07146381628582822,0.14391601315456615,0.07510751328105236,56.89,29.69,0.75,0.9058896145849918,0.9430356158226892,0.01,0.10794382785007904,0.0881677860561725,0.4744256390274225
clean,image_aegis_v3,100,1.0,0.9630051925239981,0.9999999999999999,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.008145465574231119,,,,,,,,,,0.01,0.06644052316697042,0.09842600354028594,0.46462074060714026
clean,image_temporal,100,1.0,0.9630051925239981,0.9999999999999999,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.008159961140297633,,,,,,,,,,0.0,0.03726837717558411,0.11111047802453111,0.46515840786492496
low_light,image_aegis_phase6b,100,0.97,0.9154792191959729,0.9897456617765852,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.03,0.01025433822341481,0.084520780804027,0.004657393912461364,0.0756077980793474,0.4893448122863522,0.07129489888318745,0.4933695542811148,35.43,245.18,1.15,0.9470143328482185,0.7719897841014925,0.03,0.10452152981281351,0.0740793979876749,0.3494527368652808
low_light,image_aegis_v3,100,1.0,0.9630051925239981,0.9999999999999999,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.007143575904935307,,,,,,,,,,0.03,0.09309234542570918,0.0646394153578038,0.4683122874689324
low_light,image_temporal,100,1.0,0.9630051925239981,0.9999999999999999,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.007140227633674794,,,,,,,,,,0.0,0.09348215020839314,0.05773963925238827,0.4673213287631781
mixed,image_aegis_phase6b,100,0.99,0.9455124752390652,0.9982326134344527,0.01,0.001767386565547261,0.0544875247609346,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.021386290224777404,0.11472484346802338,0.7180625003036961,0.11176236836876614,0.7202215378501887,45.0,289.99,1.52,0.9101598698853973,0.5413923146257873,0.26,0.10555348605283657,0.16741312652751617,0.487201335759163
mixed,image_aegis_v3,100,0.94,0.8752303146877748,0.9722142547333433,0.06,0.02778574526665662,0.12476968531222507,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.030764981922107543,,,,,,,,,,0.12,0.14819232419243242,0.374258183991764,0.45989379272219083
mixed,image_temporal,100,0.57,0.4721521169586435,0.6626686099947162,0.43,0.3373313900052838,0.5278478830413564,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.03080042376114506,,,,,,,,,,0.0,0.24928400703020362,0.6979577253635134,0.48095575836116844
occlusion,image_aegis_phase6b,100,0.96,0.9016278276739262,0.984336949448152,0.04,0.01566305055184801,0.09837217232607375,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.026720333312754332,0.22394860825833127,0.07702350453459914,0.22263690518911936,0.08117419077011412,93.06,33.93,0.32,0.8590141526218428,0.953673466349118,0.03,0.11573133797729435,0.13429475213031847,0.43846874551450876
occlusion,image_aegis_v3,100,0.93,0.8625032899347025,0.965681175635936,0.07,0.034318824364064096,0.13749671006529757,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.02704969940684127,,,,,,,,,,0.05,0.12057757315368339,0.1497598798807112,0.46393126530971895
occlusion,image_temporal,100,0.86,0.7786263961619276,0.914737342455351,0.14,0.08526265754464904,0.2213736038380724,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.03046999175677518,,,,,,,,,,0.0,0.14481241623899688,0.22449364185076262,0.468427543529843
