condition,threshold,x_coverage,x_selected_bad_rate,z_coverage,z_selected_bad_rate,joint_coverage,joint_selected_bad_rate,x_bad_rejection_recall,z_bad_rejection_recall
blur,0.4,1.0,0.0,0.7575,0.33795379537953796,0.7575,0.33795379537953796,0.0,0.45064377682403434
blur,0.5,1.0,0.0,0.331,0.055891238670694864,0.331,0.055891238670694864,0.0,0.9603004291845494
blur,0.6,1.0,0.0,0.2095,0.0,0.2095,0.0,0.0,1.0
blur,0.7,1.0,0.0,0.2095,0.0,0.2095,0.0,0.0,1.0
blur,0.8,1.0,0.0,0.2095,0.0,0.2095,0.0,0.0,1.0
blur,0.9,1.0,0.0,0.1905,0.0,0.1905,0.0,0.0,1.0
clean,0.4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
clean,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
clean,0.6,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
clean,0.7,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
clean,0.8,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
clean,0.9,1.0,0.0,0.781,0.0,0.781,0.0,0.0,0.0
low_light,0.4,1.0,0.0,0.96,0.0796875,0.96,0.0796875,0.0,0.012903225806451613
low_light,0.5,1.0,0.0,0.859,0.07916181606519208,0.859,0.07916181606519208,0.0,0.12258064516129032
low_light,0.6,1.0,0.0,0.745,0.0610738255033557,0.745,0.0610738255033557,0.0,0.4129032258064516
low_light,0.7,1.0,0.0,0.4965,0.025176233635448138,0.4965,0.025176233635448138,0.0,0.8387096774193549
low_light,0.8,1.0,0.0,0.3055,0.0016366612111292963,0.3055,0.0016366612111292963,0.0,0.9935483870967742
low_light,0.9,1.0,0.0,0.183,0.0,0.183,0.0,0.0,1.0
mixed,0.4,0.9975,0.0431077694235589,0.314,0.3073248407643312,0.313,0.3258785942492013,0.0,0.8543396226415094
mixed,0.5,0.995,0.04271356783919598,0.2065,0.10653753026634383,0.2065,0.12832929782082325,0.011627906976744186,0.9667924528301887
mixed,0.6,0.9885,0.042488619119878605,0.157,0.04777070063694268,0.1565,0.07348242811501597,0.023255813953488372,0.9886792452830189
mixed,0.7,0.98,0.04081632653061224,0.0665,0.03007518796992481,0.0665,0.06015037593984962,0.06976744186046512,0.9969811320754717
mixed,0.8,0.966,0.03985507246376811,0.0085,0.0,0.0085,0.17647058823529413,0.10465116279069768,1.0
mixed,0.9,0.9265,0.03291958985429034,0.004,0.0,0.004,0.125,0.29069767441860467,1.0
occlusion,0.4,1.0,0.0055,1.0,0.0,1.0,0.0055,0.0,0.0
occlusion,0.5,1.0,0.0055,1.0,0.0,1.0,0.0055,0.0,0.0
occlusion,0.6,1.0,0.0055,1.0,0.0,1.0,0.0055,0.0,0.0
occlusion,0.7,1.0,0.0055,1.0,0.0,1.0,0.0055,0.0,0.0
occlusion,0.8,0.9995,0.005502751375687844,1.0,0.0,0.9995,0.005502751375687844,0.0,0.0
occlusion,0.9,0.9925,0.003022670025188917,1.0,0.0,0.9925,0.003022670025188917,0.45454545454545453,0.0
