profile,architecture,episodes,success_rate,unsafe_touchdown_rate,abort_rate,timeout_rate,mean_final_x_error,mean_interventions,mean_max_risk
blur,aegis_v1,500,0.998,0.0,0.002,0.0,0.08402628764522928,0.282,0.6205539748678102
blur,aegis_v2,500,1.0,0.0,0.0,0.0,0.08473445242454498,0.006,0.32861537515056577
blur,baseline,500,1.0,0.0,0.0,0.0,0.08399222302796332,0.0,0.6205539748678102
clean,aegis_v1,500,1.0,0.0,0.0,0.0,0.07975459320756507,0.0,0.17269972094903976
clean,aegis_v2,500,1.0,0.0,0.0,0.0,0.0804295031178598,0.0,0.15736570468469904
clean,baseline,500,1.0,0.0,0.0,0.0,0.07975459320756507,0.0,0.17269972094903976
low_light,aegis_v1,500,0.814,0.004,0.182,0.0,0.1990171936992584,4.15,0.7826565427667331
low_light,aegis_v2,500,0.996,0.004,0.0,0.0,0.19751580721100148,0.046,0.44032198519025206
low_light,baseline,500,0.996,0.004,0.0,0.0,0.19738894976121896,0.0,0.7828678138145881
mixed,aegis_v1,500,0.0,0.0,1.0,0.0,0.6084967547666387,124.462,0.9197576478522367
mixed,aegis_v2,500,0.152,0.848,0.0,0.0,0.6022270737226332,55.7,0.6436796014493434
mixed,baseline,500,0.158,0.842,0.0,0.0,0.6076571238531301,0.0,0.9198560835218823
occlusion,aegis_v1,500,0.016,0.038,0.946,0.0,0.41143253879080005,92.528,0.8863633193788342
occlusion,aegis_v2,500,0.694,0.306,0.0,0.0,0.3960005064901376,9.438,0.5813430842350779
occlusion,baseline,500,0.662,0.338,0.0,0.0,0.40002588578389875,0.0,0.8863701408524771
