profile,architecture,episodes,success_rate,success_ci_low,success_ci_high,unsafe_touchdown_rate,unsafe_ci_low,unsafe_ci_high,abort_rate,abort_ci_low,abort_ci_high,timeout_rate,mean_final_x_error,mean_interventions,mean_max_risk,mean_final_bias_estimate_x,mean_final_bias_confidence,mean_normalized_disagreement,mean_reference_weight
blur,aegis_v1,500,0.996,0.9855339859585811,0.9989023924587627,0.0,0.0,0.007624618530903363,0.004,0.0010976075412372681,0.014466014041418871,0.0,0.08208448239730072,0.27,0.6183192349682141,,,,
blur,aegis_v2,500,1.0,0.9923753814690964,0.9999999999999999,0.0,0.0,0.007624618530903363,0.0,0.0,0.007624618530903363,0.0,0.08358671248551025,0.006,0.32843293380274496,,,,
blur,aegis_v3,500,1.0,0.9923753814690964,0.9999999999999999,0.0,0.0,0.007624618530903363,0.0,0.0,0.007624618530903363,0.0,0.08162854197512749,0.152,0.21346530612022435,0.07969524129217279,0.02379147368942124,0.5462794943101905,0.17970436174781468
blur,baseline,500,1.0,0.9923753814690964,0.9999999999999999,0.0,0.0,0.007624618530903363,0.0,0.0,0.007624618530903363,0.0,0.08263391544042452,0.0,0.6183192349682141,,,,
clean,aegis_v1,500,1.0,0.9923753814690964,0.9999999999999999,0.0,0.0,0.007624618530903363,0.0,0.0,0.007624618530903363,0.0,0.08275223092587464,0.0,0.1731272612491562,,,,
clean,aegis_v2,500,1.0,0.9923753814690964,0.9999999999999999,0.0,0.0,0.007624618530903363,0.0,0.0,0.007624618530903363,0.0,0.08350233195515816,0.0,0.1583004566078414,,,,
clean,aegis_v3,500,1.0,0.9923753814690964,0.9999999999999999,0.0,0.0,0.007624618530903363,0.0,0.0,0.007624618530903363,0.0,0.08408430014923206,0.5,0.14427021896162073,8.033280241015006e-05,0.0013258851342937393,0.5614495950656142,0.18012767869181096
clean,baseline,500,1.0,0.9923753814690964,0.9999999999999999,0.0,0.0,0.007624618530903363,0.0,0.0,0.007624618530903363,0.0,0.08275223092587464,0.0,0.1731272612491562,,,,
low_light,aegis_v1,500,0.8,0.7627101702740526,0.8327150586074055,0.0,0.0,0.007624618530903363,0.2,0.16728494139259462,0.23728982972594745,0.0,0.2014773282662099,4.284,0.7809927774039913,,,,
low_light,aegis_v2,500,0.998,0.9887590072528046,0.9996468726904154,0.002,0.0003531273095845411,0.011240992747195207,0.0,0.0,0.007624618530903363,0.0,0.19736037139200593,0.084,0.439615208142076,,,,
low_light,aegis_v3,500,1.0,0.9923753814690964,0.9999999999999999,0.0,0.0,0.007624618530903363,0.0,0.0,0.007624618530903363,0.0,0.12806147737718965,0.058,0.28046971379136415,0.21425796214582313,0.21764725787678935,0.596338935281791,0.17969256571550313
low_light,baseline,500,1.0,0.9923753814690964,0.9999999999999999,0.0,0.0,0.007624618530903363,0.0,0.0,0.007624618530903363,0.0,0.19744288818443334,0.0,0.7812348233229197,,,,
mixed,aegis_v1,500,0.0,0.0,0.007624618530903363,0.0,0.0,0.007624618530903363,1.0,0.9923753814690964,0.9999999999999999,0.0,0.6112701850359624,122.498,0.9213217540312171,,,,
mixed,aegis_v2,500,0.16,0.13047587742957925,0.19470886317143507,0.84,0.8052911368285649,0.8695241225704207,0.0,0.0,0.007624618530903363,0.0,0.6000048662369083,53.226,0.6438227495559502,,,,
mixed,aegis_v3,500,0.976,0.9585225403081018,0.9862188228504781,0.024,0.013781177149521822,0.04147745969189818,0.0,0.0,0.007624618530903363,0.0,0.1438712059088489,0.07,0.437184077200558,0.6163625379596287,0.953039506828947,0.7547226657070739,0.18002110548674477
mixed,baseline,500,0.158,0.1286522063728175,0.1925630327023204,0.842,0.8074369672976796,0.8713477936271825,0.0,0.0,0.007624618530903363,0.0,0.5977322985104518,0.0,0.9213599663868499,,,,
occlusion,aegis_v1,500,0.026,0.0152562373229252,0.04397190104437119,0.034,0.02133433944461342,0.053771805026188516,0.94,0.9156384216937552,0.9576519139990498,0.0,0.41035517695894025,92.39,0.8828995677127828,,,,
occlusion,aegis_v2,500,0.664,0.6214864254224679,0.7040126996993958,0.336,0.29598730030060416,0.3785135745775322,0.0,0.0,0.007624618530903363,0.0,0.4003756404518011,9.224,0.5810942230904915,,,,
occlusion,aegis_v3,500,0.986,0.9713865738597492,0.9932022969282127,0.014,0.006797703071787358,0.02861342614025071,0.0,0.0,0.007624618530903363,0.0,0.1543601302950861,0.038,0.369244280693277,0.41905300440163373,0.743118505025402,0.6855105208532201,0.1800998911914652
occlusion,baseline,500,0.654,0.6112721337613813,0.6943794837311004,0.346,0.3056205162688995,0.38872786623861866,0.0,0.0,0.007624618530903363,0.0,0.401140882456005,0.0,0.8829075021266651,,,,
